Date,Open,High,Low,Close,Volume
01/31/2025,"320.91","321.64","315.51","317.45","2,034,005"
01/30/2025,"317.00","321.89","316.00","318.95","2,517,669"
01/29/2025,"316.63","319.48","314.14","315.25","2,155,365"
01/28/2025,"316.64","317.87","310.72","317.04","2,431,418"
01/27/2025,"318.13","318.83","311.84","316.42","3,099,121"
01/24/2025,"324.40","324.47","313.73","321.34","6,260,113"
01/23/2025,"323.55","326.28","321.99","325.87","3,935,820"
01/22/2025,"318.31","322.82","317.68","322.25","2,927,409"
01/21/2025,"316.94","319.70","315.00","317.95","2,779,104"
01/17/2025,"313.02","315.40","310.77","312.56","2,183,457"
01/16/2025,"312.70","314.00","310.13","311.48","2,361,199"
01/15/2025,"305.00","313.96","304.21","312.32","3,099,514"
01/14/2025,"299.60","300.54","296.73","300.36","2,370,931"
01/13/2025,"292.52","297.71","291.16","297.02","2,202,977"
01/10/2025,"300.43","301.32","293.16","293.30","2,685,527"
01/08/2025,"301.90","304.20","298.85","302.85","2,061,411"
01/07/2025,"304.00","304.38","296.85","302.02","2,059,050"
01/06/2025,"304.32","305.15","300.17","301.88","2,713,975"
01/03/2025,"300.68","303.43","297.53","303.08","1,979,833"
01/02/2025,"300.00","300.34","294.62","298.43","1,930,118"
12/31/2024,"298.05","298.87","295.67","296.79","1,231,551"
12/30/2024,"297.35","299.70","294.13","297.33","2,393,051"
12/27/2024,"300.85","305.09","298.71","301.05","1,676,011"
12/26/2024,"301.48","304.89","301.01","303.99","1,228,978"
12/24/2024,"299.29","303.62","298.00","303.46","862,881"
12/23/2024,"296.48","299.76","295.19","298.80","1,902,436"
12/20/2024,"292.35","302.72","292.00","298.65","6,232,414"
12/19/2024,"293.02","296.86","291.20","293.08","3,541,351"
12/18/2024,"302.60","303.59","286.43","287.78","3,541,224"
12/17/2024,"302.33","303.03","299.70","301.34","3,611,578"
12/16/2024,"303.70","304.20","300.84","303.57","1,813,997"
12/13/2024,"302.46","304.32","301.25","302.14","1,661,963"
12/12/2024,"303.63","304.45","300.26","300.30","1,668,441"
12/11/2024,"303.37","304.13","299.54","302.34","2,071,545"
12/10/2024,"297.43","304.98","296.51","302.11","2,968,061"
12/09/2024,"304.07","305.07","296.16","296.72","2,377,947"
12/06/2024,"301.64","304.74","300.62","303.99","1,797,667"
12/05/2024,"302.28","303.43","300.32","300.53","2,793,669"
12/04/2024,"302.00","303.53","300.71","302.60","1,561,228"
12/03/2024,"303.84","304.99","301.14","302.11","2,128,671"
12/02/2024,"306.21","306.85","299.91","302.26","2,167,054"
11/29/2024,"307.25","307.79","304.67","304.68","1,326,646"
11/27/2024,"307.00","307.82","302.79","304.25","1,697,344"
11/26/2024,"305.61","306.97","302.00","305.57","2,130,705"
11/25/2024,"303.05","305.80","302.50","305.21","3,478,440"
11/22/2024,"293.40","301.92","292.51","301.30","3,788,898"
11/21/2024,"289.82","294.07","287.53","293.00","2,410,469"
11/20/2024,"286.15","288.33","285.09","287.71","2,387,656"
11/19/2024,"281.89","286.62","281.31","285.55","2,512,936"
11/18/2024,"286.94","287.52","283.61","285.54","2,074,634"
11/15/2024,"288.00","290.55","285.49","286.87","2,614,568"
11/14/2024,"288.34","290.56","287.36","288.30","2,979,782"
11/13/2024,"287.92","290.61","287.44","287.64","2,118,132"
11/12/2024,"292.00","293.55","287.58","288.51","2,251,660"
11/11/2024,"290.49","294.18","290.43","292.97","2,299,530"
11/08/2024,"286.68","290.10","285.95","287.60","1,814,377"
11/07/2024,"292.32","293.04","284.65","286.82","3,877,331"
11/06/2024,"288.00","296.83","286.81","295.16","5,380,812"
11/05/2024,"271.72","276.18","271.19","275.94","1,859,581"
11/04/2024,"272.33","272.82","269.71","270.19","1,944,015"
11/01/2024,"272.30","274.75","270.95","272.69","2,508,471"
10/31/2024,"273.70","274.08","268.64","270.08","2,315,384"
10/30/2024,"271.00","275.07","270.27","274.08","2,152,864"
10/29/2024,"270.30","271.80","269.58","270.43","1,748,966"
10/28/2024,"269.24","271.97","267.68","271.47","2,336,884"
10/25/2024,"271.65","273.17","266.35","267.35","2,993,298"
10/24/2024,"270.23","271.23","268.71","269.98","3,490,640"
10/23/2024,"272.00","273.35","268.96","271.23","2,051,063"
10/22/2024,"270.62","272.83","268.58","272.40","2,595,361"
10/21/2024,"275.00","276.36","269.53","270.74","4,092,739"
10/18/2024,"276.80","279.20","269.05","276.79","7,884,358"
10/17/2024,"284.00","286.36","282.48","285.78","3,571,930"
10/16/2024,"278.88","281.87","277.69","281.68","2,243,627"
10/15/2024,"280.57","281.42","276.90","277.31","2,264,560"
10/14/2024,"276.16","277.70","275.11","276.52","1,398,955"
10/11/2024,"271.38","277.11","271.00","276.16","1,723,286"
10/10/2024,"270.93","272.90","269.88","270.47","2,052,769"
10/09/2024,"268.81","271.59","268.42","271.42","2,086,991"
10/08/2024,"271.25","272.50","266.16","269.11","3,332,787"
10/07/2024,"274.35","276.31","271.55","273.79","3,287,461"
10/04/2024,"272.25","276.79","270.00","275.97","2,240,183"
10/03/2024,"269.64","271.10","267.64","268.59","1,614,588"
10/02/2024,"268.60","271.39","266.25","270.92","2,009,621"
10/01/2024,"271.28","271.83","266.52","268.60","2,429,482"
09/30/2024,"270.10","271.48","267.29","271.20","2,113,106"
09/27/2024,"268.00","272.68","267.42","271.06","2,231,903"
09/26/2024,"268.29","268.99","266.34","268.15","1,430,575"
09/25/2024,"267.09","268.72","265.55","266.17","2,116,345"
09/24/2024,"267.77","268.50","263.03","266.21","2,340,349"
09/23/2024,"271.36","272.41","267.05","267.30","2,534,914"
09/20/2024,"268.40","271.49","266.95","268.99","5,847,242"
09/19/2024,"267.83","270.10","266.35","268.75","2,973,435"
09/18/2024,"264.40","266.35","261.00","262.18","2,577,368"
09/17/2024,"261.52","267.22","261.35","265.40","2,765,723"
09/16/2024,"261.31","262.85","259.15","261.09","2,170,169"
09/13/2024,"256.23","260.21","255.75","259.00","2,199,187"
09/12/2024,"254.16","257.00","252.59","255.15","2,279,719"
09/11/2024,"244.40","254.63","243.50","254.18","3,149,868"
09/10/2024,"251.72","252.50","240.59","245.42","3,630,857"
09/09/2024,"248.25","253.15","247.53","250.92","3,080,770"
09/06/2024,"251.29","253.57","243.32","244.06","3,652,963"
09/05/2024,"252.71","253.17","248.37","251.84","2,711,284"
09/04/2024,"254.99","256.58","250.66","251.74","3,062,610"
09/03/2024,"255.77","257.48","252.79","254.31","2,970,160"
08/30/2024,"260.49","261.75","256.10","258.65","3,442,125"
08/29/2024,"258.00","261.57","256.83","259.84","2,423,526"
08/28/2024,"254.21","258.63","253.75","257.09","2,557,059"
08/27/2024,"253.70","256.68","253.70","255.03","2,518,173"
08/26/2024,"252.42","256.16","251.95","253.88","1,931,103"
08/23/2024,"248.00","252.17","248.00","251.30","1,868,199"
08/22/2024,"246.77","248.92","245.76","247.76","1,981,273"
08/21/2024,"249.64","249.82","243.35","246.30","3,502,452"
08/20/2024,"254.22","254.62","252.26","253.08","1,659,736"
08/19/2024,"252.00","254.11","251.84","254.05","1,653,379"
08/16/2024,"249.39","251.75","249.13","251.71","2,149,718"
08/15/2024,"247.77","250.36","245.35","249.50","2,656,834"
